Policy_ID,Rank,TOPSIS Score,Distance to Ideal,Distance to Nadir,Cost_carbon_abatement Score,Social_acceptance_tech Score,Deployment_difficulty Score,Acceptance_policy_instrument Score,Perceived_equity Score,Administrative_burden Score,Relevance Score
I_01,37,0.6915742317499167,0.15611664167101505,0.3500558566801272,0.18487894043937383,0.17903710816789722,0.10320024080787635,0.03398138330152924,0.20075424529139824,0.12247448713915891,-1.868280264304142e-17
N_02,23,0.6956377352988194,0.15369703524936135,0.35128355227603175,0.09967197293310641,0.05892677929895779,0.1313808808347891,0.03398138330152924,0.20075424529139824,0.12247448713915891,4.670700660760354e-17
I_03,31,0.6937611384360852,0.15511277231204273,0.3513963347291266,0.10018158792407225,0.16549648654175375,0.017769409201964993,0.13592553320611697,0.10037712264569912,0.12247448713915891,0.0
I_04,37,0.6915742317499167,0.15611664167101505,0.3500558566801272,0.18487894043937383,0.17903710816789722,0.10320024080787635,0.03398138330152924,0.20075424529139824,0.12247448713915891,-1.868280264304142e-17
I_05,23,0.6956377352988194,0.15369703524936135,0.35128355227603175,0.09967197293310641,0.05892677929895779,0.1313808808347891,0.03398138330152924,0.20075424529139824,0.12247448713915891,4.670700660760354e-17
I_06,12,0.7030241466263072,0.15056363069365808,0.35642583994252774,0.02105327750434717,0.18167000681742515,0.05459191993960256,0.10194414990458772,0.20075424529139824,0.040824829046386304,0.009075760505683097
N_07,17,0.6973892376179701,0.15325152735324243,0.35317965885741387,0.012384322722650736,0.09403209462599645,0.0,0.10194414990458772,0.20075424529139824,0.040824829046386304,0.0
N_08,20,0.6967878562454215,0.15356370397360905,0.3528926076769703,0.012384322722650736,0.09403209462599645,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0
N_09,7,0.8356864726007013,0.083803089581943,0.4262163282246808,0.22663276432405052,0.16894433001137363,0.023994160602953684,0.16990691650764622,0.05018856132284956,0.040824829046386304,0.1527244572489963
I_10,39,0.6912541584584405,0.15628191846311532,0.3499011532919698,0.18487894043937383,0.17903710816789722,0.10320024080787635,0.16990691650764622,0.15056568396854866,0.2041241452319315,-1.868280264304142e-17
I_11,39,0.6912541584584405,0.15628191846311532,0.3499011532919698,0.18487894043937383,0.17903710816789722,0.10320024080787635,0.16990691650764622,0.15056568396854866,0.2041241452319315,-1.868280264304142e-17
I_12,48,0.09312367469398343,0.5004382980886244,0.05138810218680056,0.021747388070767214,0.1479438288782344,0.17885464449778013,0.16990691650764622,0.15056568396854866,0.2041241452319315,-0.6938592625633416
I_13,8,0.7711442825051674,0.11616978984184505,0.3914416918091129,0.009788767184648928,0.16549648654175375,0.24068094136121032,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.08296143356735586
I_14,41,0.6912163459578698,0.15630269805596506,0.3498856833880841,0.18487894043937383,0.17903710816789722,0.10320024080787635,0.06796276660305849,0.15056568396854866,0.2041241452319315,-1.868280264304142e-17
I_15,13,0.7030057514515649,0.15057561367197178,0.3564228026539767,0.02105327750434717,0.18167000681742515,0.05459191993960256,0.06796276660305849,0.20075424529139824,0.040824829046386304,0.009075760505683097
I_16,34,0.6929597363986661,0.15556360467958089,0.35109178590322304,0.028761673064605347,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.0
I_17,35,0.6928225986612114,0.15563263884323578,0.35102129521875336,0.028761673064605347,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0
I_18,35,0.6928225986612114,0.15563263884323578,0.35102129521875336,0.028761673064605347,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0
I_19,32,0.6931365564762971,0.15549788140940754,0.35123527528019516,0.028761673064605347,0.18304914420527307,0.11022216219847476,0.13592553320611697,0.20075424529139824,0.2041241452319315,0.0
I_20,42,0.6893127282234277,0.15779004026333882,0.35008412967308516,0.033212144659535446,0.2256770271023915,0.22044432439694953,0.13592553320611697,0.15056568396854866,0.2041241452319315,0.0
N_21,27,0.6950789324769622,0.15461979644938795,0.3524615859733137,0.024311201469675248,0.14042126130815472,0.0,0.16990691650764622,0.05018856132284956,0.040824829046386304,0.0
I_22,29,0.6947473147485264,0.1548543507861946,0.35244454703880673,0.011043695030197618,0.16549648654175375,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0
I_23,29,0.6947473147485264,0.1548543507861946,0.35244454703880673,0.011043695030197618,0.16549648654175375,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0
I_24,29,0.6947473147485264,0.1548543507861946,0.35244454703880673,0.011043695030197618,0.16549648654175375,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0
I_25,10,0.7204710968504884,0.1419560896584477,0.36588438071509244,0.004393235689030389,0.20812436943887216,0.081573147817522,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.029132070758982897
I_26,10,0.7204710968504884,0.1419560896584477,0.36588438071509244,0.004393235689030389,0.20812436943887216,0.081573147817522,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.029132070758982897
I_27,10,0.7204710968504884,0.1419560896584477,0.36588438071509244,0.004393235689030389,0.20812436943887216,0.081573147817522,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.029132070758982897
I_28,15,0.6982921634622318,0.15287751147240183,0.35382961694275433,0.014159033998272303,0.15045135140159432,0.0262433719520178,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0033613927798825487
I_29,15,0.6982921634622318,0.15287751147240183,0.35382961694275433,0.014159033998272303,0.15045135140159432,0.0262433719520178,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0033613927798825487
