Policy_ID,Rank,TOPSIS Score,Distance to Ideal,Distance to Nadir,Cost_carbon_abatement Score,Social_acceptance_tech Score,Deployment_difficulty Score,Acceptance_policy_instrument Score,Perceived_equity Score,Administrative_burden Score,Cost_gap Score
I_01,38,0.5907724153008599,0.061100523594581485,0.08820642901346905,0.1903398582151308,0.17903710816789722,0.10320024080787635,0.03398138330152924,0.20075424529139824,0.12247448713915891,0.17297098303421085
N_02,11,0.7613890065304079,0.03334564258899868,0.10640333588062974,0.08697319316236739,0.05892677929895779,0.1313808808347891,0.03398138330152924,0.20075424529139824,0.12247448713915891,0.11655491437240945
I_03,26,0.6921176884466707,0.04801519860767384,0.10793789387570825,0.10633567502343728,0.16549648654175375,0.017769409201964993,0.13592553320611697,0.10037712264569912,0.12247448713915891,0.08896952309218362
I_04,38,0.5907724153008599,0.061100523594581485,0.08820642901346905,0.1903398582151308,0.17903710816789722,0.10320024080787635,0.03398138330152924,0.20075424529139824,0.12247448713915891,0.17297098303421085
I_05,11,0.7613890065304079,0.03334564258899868,0.10640333588062974,0.08697319316236739,0.05892677929895779,0.1313808808347891,0.03398138330152924,0.20075424529139824,0.12247448713915891,0.11655491437240945
I_06,23,0.724702988024095,0.04513078455433686,0.11880410246247859,0.020926360649912747,0.18167000681742515,0.05459191993960256,0.10194414990458772,0.20075424529139824,0.040824829046386304,0.020812690650590125
N_07,1,0.8577412596661181,0.021507960082474856,0.12968106374829702,0.01905603330095033,0.09403209462599645,0.0,0.10194414990458772,0.20075424529139824,0.040824829046386304,0.002192918818150039
N_08,2,0.8244528822180697,0.027132945872657677,0.12742923786175725,0.01905603330095033,0.09403209462599645,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.002192918818150039
N_09,43,0.5736546087068662,0.0672838436012831,0.0905314980802741,0.23272254623442173,0.16894433001137363,0.023994160602953684,0.16990691650764622,0.05018856132284956,0.040824829046386304,0.2129359005679126
I_10,40,0.5811513109959885,0.06229578943931688,0.08643522267737673,0.1903398582151308,0.17903710816789722,0.10320024080787635,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.17297098303421085
I_11,40,0.5811513109959885,0.06229578943931688,0.08643522267737673,0.1903398582151308,0.17903710816789722,0.10320024080787635,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.17297098303421085
I_12,25,0.6947985616919948,0.04740431834955791,0.10791709367379604,0.02499940404493118,0.1479438288782344,0.17885464449778013,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.016459131040099734
