Policy_ID,Rank,TOPSIS Score,Distance to Ideal,Distance to Nadir,Cost_carbon_abatement Score,Social_acceptance_tech Score,Deployment_difficulty Score,Acceptance_policy_instrument Score,Perceived_equity Score,Administrative_burden Score,Cost_gap Score,Relevance Score
I_01,37,0.6918718944732327,0.1557500508439195,0.3497216930518653,0.1903398582151308,0.17903710816789722,0.10320024080787635,0.03398138330152924,0.20075424529139824,0.12247448713915891,0.17297098303421085,-1.868280264304142e-17
N_02,27,0.6955476341191956,0.15363184179042702,0.3509851656877646,0.08697319316236739,0.05892677929895779,0.1313808808347891,0.03398138330152924,0.20075424529139824,0.12247448713915891,0.11655491437240945,4.670700660760354e-17
I_03,31,0.6942866890677383,0.15459988572548847,0.35110228751008865,0.10633567502343728,0.16549648654175375,0.017769409201964993,0.13592553320611697,0.10037712264569912,0.12247448713915891,0.08896952309218362,0.0
I_04,37,0.6918718944732327,0.1557500508439195,0.3497216930518653,0.1903398582151308,0.17903710816789722,0.10320024080787635,0.03398138330152924,0.20075424529139824,0.12247448713915891,0.17297098303421085,-1.868280264304142e-17
I_05,27,0.6955476341191956,0.15363184179042702,0.3509851656877646,0.08697319316236739,0.05892677929895779,0.1313808808347891,0.03398138330152924,0.20075424529139824,0.12247448713915891,0.11655491437240945,4.670700660760354e-17
I_06,12,0.7039680651624396,0.14989482489552397,0.3564519818359008,0.020926360649912747,0.18167000681742515,0.05459191993960256,0.10194414990458772,0.20075424529139824,0.040824829046386304,0.020812690650590125,0.009075760505683097
N_07,17,0.6974493086669391,0.15310260588483735,0.3529369116923852,0.01905603330095033,0.09403209462599645,0.0,0.10194414990458772,0.20075424529139824,0.040824829046386304,0.002192918818150039,0.0
N_08,18,0.697019037344754,0.1533258263631168,0.3527317985761181,0.01905603330095033,0.09403209462599645,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.002192918818150039,0.0
N_09,7,0.8361102679640594,0.08344440582172424,0.4257052815023422,0.23272254623442173,0.16894433001137363,0.023994160602953684,0.16990691650764622,0.05018856132284956,0.040824829046386304,0.2129359005679126,0.1527244572489963
I_10,39,0.6916425288793074,0.1558683777662019,0.34961111394098726,0.1903398582151308,0.17903710816789722,0.10320024080787635,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.17297098303421085,-1.868280264304142e-17
I_11,39,0.6916425288793074,0.1558683777662019,0.34961111394098726,0.1903398582151308,0.17903710816789722,0.10320024080787635,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.17297098303421085,-1.868280264304142e-17
I_12,48,0.09736742987138165,0.5002159538988719,0.05395854683689802,0.02499940404493118,0.1479438288782344,0.17885464449778013,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.016459131040099734,-0.6938592625633416
I_13,8,0.7734920732365136,0.11478455960688894,0.39197280313540467,0.0162257503417408,0.16549648654175375,0.24068094136121032,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.0,0.08296143356735586
I_14,41,0.6916154249275355,0.15588325703873562,0.34960005710596814,0.1903398582151308,0.17903710816789722,0.10320024080787635,0.06796276660305849,0.15056568396854866,0.2041241452319315,0.17297098303421085,-1.868280264304142e-17
I_15,13,0.7039548465883757,0.14990342074587135,0.3564498129361678,0.020926360649912747,0.18167000681742515,0.05459191993960256,0.06796276660305849,0.20075424529139824,0.040824829046386304,0.020812690650590125,0.009075760505683097
I_16,33,0.6941283289948627,0.15479286795912542,0.35127841170680196,0.015015406970575922,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.048652151075862654,0.0
I_17,34,0.6940299585427818,0.15484241683109232,0.35122809939865735,0.015015406970575922,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.048652151075862654,0.0
