Policy_ID,Rank,TOPSIS Score,Distance to Ideal,Distance to Nadir,Cost_carbon_abatement Score,Social_acceptance_tech Score,Deployment_difficulty Score,Acceptance_policy_instrument Score,Perceived_equity Score,Administrative_burden Score,Relevance Score
I_01,35,0.46382235629092794,0.33285836531504165,0.2879402994939845,0.18487894043937383,0.17903710816789722,0.10320024080787635,0.03398138330152924,0.20075424529139824,0.12247448713915891,-0.00011157551473412148
N_02,29,0.46604074229470516,0.33167469676106354,0.28948635995784233,0.09967197293310641,0.05892677929895779,0.1313808808347891,0.03398138330152924,0.20075424529139824,0.12247448713915891,0.0
I_03,46,0.3907118503053832,0.37951182346942175,0.24336558463319444,0.10018158792407225,0.16549648654175375,0.017769409201964993,0.13592553320611697,0.10037712264569912,0.12247448713915891,-0.09463365368106472
I_04,35,0.46382235629092794,0.33285836531504165,0.2879402994939845,0.18487894043937383,0.17903710816789722,0.10320024080787635,0.03398138330152924,0.20075424529139824,0.12247448713915891,-0.00011157551473412148
I_05,29,0.46604074229470516,0.33167469676106354,0.28948635995784233,0.09967197293310641,0.05892677929895779,0.1313808808347891,0.03398138330152924,0.20075424529139824,0.12247448713915891,0.0
I_06,13,0.49508992755133724,0.3142027322011744,0.3080917106040269,0.02105327750434717,0.18167000681742515,0.05459191993960256,0.10194414990458772,0.20075424529139824,0.040824829046386304,0.03630902145268515
N_07,18,0.4681636700333314,0.33146848487179237,0.291784320916346,0.012384322722650736,0.09403209462599645,0.0,0.10194414990458772,0.20075424529139824,0.040824829046386304,0.0
N_08,21,0.46775849057421937,0.33161293250594776,0.2914368045649451,0.012384322722650736,0.09403209462599645,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0
N_09,42,0.44532643270507866,0.3448231814141484,0.2768454931827159,0.22663276432405052,0.16894433001137363,0.023994160602953684,0.16990691650764622,0.05018856132284956,0.040824829046386304,-0.02373123112461877
I_10,37,0.46360191955965463,0.33293591514295573,0.287752203035317,0.18487894043937383,0.17903710816789722,0.10320024080787635,0.16990691650764622,0.15056568396854866,0.2041241452319315,-0.00011157551473412148
I_11,37,0.46360191955965463,0.33293591514295573,0.287752203035317,0.18487894043937383,0.17903710816789722,0.10320024080787635,0.16990691650764622,0.15056568396854866,0.2041241452319315,-0.00011157551473412148
I_12,1,0.9566189494143897,0.028005035411995494,0.6175541438598158,0.021747388070767214,0.1479438288782344,0.17885464449778013,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.6624502567562354
I_13,48,0.07312053947353692,0.6163218589594663,0.04862097903307962,0.009788767184648928,0.16549648654175375,0.24068094136121032,0.16990691650764622,0.15056568396854866,0.2041241452319315,-0.5683744806488412
I_14,39,0.4635783766676338,0.33294566970173944,0.2877333917302168,0.18487894043937383,0.17903710816789722,0.10320024080787635,0.06796276660305849,0.15056568396854866,0.2041241452319315,-0.00011157551473412148
I_15,14,0.4950825080703969,0.3142084745319858,0.30808819681366356,0.02105327750434717,0.18167000681742515,0.05459191993960256,0.06796276660305849,0.20075424529139824,0.040824829046386304,0.03630902145268515
I_16,10,0.5180466284590142,0.2994962407802768,0.32192537065627136,0.028761673064605347,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.06638743126679711
I_17,11,0.5179571007281596,0.29953210414565196,0.3218484920587858,0.028761673064605347,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.06638743126679711
I_18,11,0.5179571007281596,0.29953210414565196,0.3218484920587858,0.028761673064605347,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.06638743126679711
I_19,9,0.5181964167064373,0.29946210822644453,0.32208185410640194,0.028761673064605347,0.18304914420527307,0.11022216219847476,0.13592553320611697,0.20075424529139824,0.2041241452319315,0.06638743126679711
I_20,47,0.37178609275056823,0.3908945470191677,0.23133705675200347,0.033212144659535446,0.2256770271023915,0.22044432439694953,0.13592553320611697,0.15056568396854866,0.2041241452319315,-0.11530448588443731
N_21,2,0.664395630463302,0.20858651450011476,0.41293851149423844,0.024311201469675248,0.14042126130815472,0.0,0.16990691650764622,0.05018856132284956,0.040824829046386304,0.24807934841803206
I_22,4,0.5862190563336743,0.25737833071623667,0.3646375804944724,0.011043695030197618,0.16549648654175375,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.15024523918275165
I_23,4,0.5862190563336743,0.25737833071623667,0.3646375804944724,0.011043695030197618,0.16549648654175375,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.15024523918275165
I_24,4,0.5862190563336743,0.25737833071623667,0.3646375804944724,0.011043695030197618,0.16549648654175375,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.15024523918275165
I_25,16,0.474643174441147,0.327032151886968,0.2954631426951185,0.004393235689030389,0.20812436943887216,0.081573147817522,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.011646917766104692
I_26,16,0.474643174441147,0.327032151886968,0.2954631426951185,0.004393235689030389,0.20812436943887216,0.081573147817522,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.011646917766104692
I_27,16,0.474643174441147,0.327032151886968,0.2954631426951185,0.004393235689030389,0.20812436943887216,0.081573147817522,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.011646917766104692
I_28,7,0.5778623451599924,0.2624077065663524,0.3592087343214103,0.014159033998272303,0.15045135140159432,0.0262433719520178,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.1397630131932574
I_29,7,0.5778623451599924,0.2624077065663524,0.3592087343214103,0.014159033998272303,0.15045135140159432,0.0262433719520178,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.1397630131932574
I_30,7,0.5778623451599924,0.2624077065663524,0.3592087343214103,0.014159033998272303,0.15045135140159432,0.0262433719520178,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.1397630131932574
N_31,44,0.4245969012570768,0.3581833530765148,0.26430782547124415,0.44605007381960277,0.16549648654175375,0.029888829928571094,0.16990691650764622,0.10037712264569912,0.12247448713915891,-0.047462462249237815
N_32,45,0.42454595316091875,0.3583115100397892,0.26434726177346507,0.44605007381960277,0.16549648654175375,0.029888829928571094,0.16990691650764622,0.05018856132284956,0.040824829046386304,-0.047462462249237815
I_33,43,0.42484558858496707,0.3580761573174337,0.26449779884239316,0.44605007381960277,0.16549648654175375,0.029888829928571094,0.13592553320611697,0.15056568396854866,0.040824829046386304,-0.047462462249237815
