Policy_ID,Rank,TOPSIS Score,Distance to Ideal,Distance to Nadir,Cost_carbon_abatement Score,Social_acceptance_tech Score,Deployment_difficulty Score,Acceptance_policy_instrument Score,Perceived_equity Score,Administrative_burden Score
I_01,38,0.5905271393830738,0.06473471911225429,0.09335810055526335,0.18487894043937383,0.17903710816789722,0.10320024080787635,0.03398138330152924,0.20075424529139824,0.12247448713915891
N_02,12,0.7615547525121691,0.03452644218235829,0.11027175592020755,0.09967197293310641,0.05892677929895779,0.1313808808347891,0.03398138330152924,0.20075424529139824,0.12247448713915891
I_03,25,0.6731768066894676,0.054229596802008756,0.11169986570857343,0.10018158792407225,0.16549648654175375,0.017769409201964993,0.13592553320611697,0.10037712264569912,0.12247448713915891
I_04,38,0.5905271393830738,0.06473471911225429,0.09335810055526335,0.18487894043937383,0.17903710816789722,0.10320024080787635,0.03398138330152924,0.20075424529139824,0.12247448713915891
I_05,12,0.7615547525121691,0.03452644218235829,0.11027175592020755,0.09967197293310641,0.05892677929895779,0.1313808808347891,0.03398138330152924,0.20075424529139824,0.12247448713915891
I_06,23,0.6897490330866605,0.053297102578618784,0.11848996100048015,0.02105327750434717,0.18167000681742515,0.05459191993960256,0.10194414990458772,0.20075424529139824,0.040824829046386304
N_07,1,0.838940876707565,0.025398487679474984,0.13229818395432594,0.012384322722650736,0.09403209462599645,0.0,0.10194414990458772,0.20075424529139824,0.040824829046386304
N_08,7,0.8011599921429183,0.03206564118141003,0.12919788685293582,0.012384322722650736,0.09403209462599645,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891
N_09,37,0.5908036452483919,0.06904398201086145,0.09968670488094333,0.22663276432405052,0.16894433001137363,0.023994160602953684,0.16990691650764622,0.05018856132284956,0.040824829046386304
I_10,40,0.578496377862147,0.06631072904172676,0.09100874713596502,0.18487894043937383,0.17903710816789722,0.10320024080787635,0.16990691650764622,0.15056568396854866,0.2041241452319315
