Policy_ID,Rank,TOPSIS Score,Distance to Ideal,Distance to Nadir,Cost_carbon_abatement Score,Social_acceptance_tech Score,Deployment_difficulty Score,Acceptance_policy_instrument Score,Perceived_equity Score,Administrative_burden Score
I_01,35,0.622069130058408,0.05166394578449476,0.08503816005956943,0.18487894043937383,0.17903710816789722,0.10320024080787635,0.03398138330152924,0.20075424529139824,0.12247448713915891
N_02,27,0.7082061146420987,0.038598123748747194,0.09368060341307961,0.09967197293310641,0.05892677929895779,0.1313808808347891,0.03398138330152924,0.20075424529139824,0.12247448713915891
I_03,21,0.732089257689687,0.03755904435687569,0.1026333347653178,0.10018158792407225,0.16549648654175375,0.017769409201964993,0.13592553320611697,0.10037712264569912,0.12247448713915891
I_04,35,0.622069130058408,0.05166394578449476,0.08503816005956943,0.18487894043937383,0.17903710816789722,0.10320024080787635,0.03398138330152924,0.20075424529139824,0.12247448713915891
I_05,27,0.7082061146420987,0.038598123748747194,0.09368060341307961,0.09967197293310641,0.05892677929895779,0.1313808808347891,0.03398138330152924,0.20075424529139824,0.12247448713915891
I_06,12,0.7761214575450202,0.0318340048482217,0.11035918838566429,0.02105327750434717,0.18167000681742515,0.05459191993960256,0.10194414990458772,0.20075424529139824,0.040824829046386304
N_07,1,0.8706808487673093,0.017735828234793877,0.11941190329401018,0.012384322722650736,0.09403209462599645,0.0,0.10194414990458772,0.20075424529139824,0.040824829046386304
N_08,3,0.8200652064446713,0.025520929040485904,0.11631339069400384,0.012384322722650736,0.09403209462599645,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891
N_09,34,0.6472386285702489,0.0519345780408228,0.09528839546767276,0.22663276432405052,0.16894433001137363,0.023994160602953684,0.16990691650764622,0.05018856132284956,0.040824829046386304
I_10,38,0.6168552403965353,0.05273966978763759,0.08490979158623181,0.18487894043937383,0.17903710816789722,0.10320024080787635,0.16990691650764622,0.15056568396854866,0.2041241452319315
