Policy_ID,Rank,TOPSIS Score,Distance to Ideal,Distance to Nadir,Cost_carbon_abatement Score,Social_acceptance_tech Score,Deployment_difficulty Score,Acceptance_policy_instrument Score,Perceived_equity Score,Administrative_burden Score,Cost_gap Score,Relevance Score
I_01,13,0.47069857757709993,0.35370976890624345,0.31454796463076784,0.1903398582151308,0.17903710816789722,0.10320024080787635,0.03398138330152924,0.20075424529139824,0.12247448713915891,0.17297098303421085,0.012271094037955062
N_02,31,0.46336435467972154,0.35891098612506944,0.3099059090158819,0.08697319316236739,0.05892677929895779,0.1313808808347891,0.03398138330152924,0.20075424529139824,0.12247448713915891,0.11655491437240945,0.0
I_03,46,0.4298548397427209,0.3818196257295453,0.2878688191521905,0.10633567502343728,0.16549648654175375,0.017769409201964993,0.13592553320611697,0.10037712264569912,0.12247448713915891,0.08896952309218362,-0.04508119922982905
I_04,13,0.47069857757709993,0.35370976890624345,0.31454796463076784,0.1903398582151308,0.17903710816789722,0.10320024080787635,0.03398138330152924,0.20075424529139824,0.12247448713915891,0.17297098303421085,0.012271094037955062
I_05,31,0.46336435467972154,0.35891098612506944,0.3099059090158819,0.08697319316236739,0.05892677929895779,0.1313808808347891,0.03398138330152924,0.20075424529139824,0.12247448713915891,0.11655491437240945,0.0
I_06,8,0.48050014793037804,0.34811054730551944,0.3219773187808536,0.020926360649912747,0.18167000681742515,0.05459191993960256,0.10194414990458772,0.20075424529139824,0.040824829046386304,0.020812690650590125,0.02229022621553066
N_07,2,0.621818208056978,0.2530567831895616,0.4160837957087685,0.01905603330095033,0.09403209462599645,0.0,0.10194414990458772,0.20075424529139824,0.040824829046386304,0.002192918818150039,0.21139068071995276
N_08,3,0.6215943132560894,0.25319189682818366,0.4159098257353399,0.01905603330095033,0.09403209462599645,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.002192918818150039,0.21139068071995276
N_09,7,0.4923574077302431,0.3394234995983654,0.32920341383839896,0.23272254623442173,0.16894433001137363,0.023994160602953684,0.16990691650764622,0.05018856132284956,0.040824829046386304,0.2129359005679126,0.04154268176747654
I_10,15,0.4705644691270736,0.3537618880960639,0.31442501562909025,0.1903398582151308,0.17903710816789722,0.10320024080787635,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.17297098303421085,0.012271094037955062
I_11,15,0.4705644691270736,0.3537618880960639,0.31442501562909025,0.1903398582151308,0.17903710816789722,0.10320024080787635,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.17297098303421085,0.012271094037955062
I_12,1,0.9656351109152026,0.023702159174778956,0.6660180699897152,0.02499940404493118,0.1479438288782344,0.17885464449778013,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.016459131040099734,0.7170470360899667
I_13,48,0.0735214347377369,0.6644312380581665,0.0527264631241404,0.0162257503417408,0.16549648654175375,0.24068094136121032,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.0,-0.6106103666703622
I_14,17,0.47055011065979735,0.35376844419313197,0.3144127214200975,0.1903398582151308,0.17903710816789722,0.10320024080787635,0.06796276660305849,0.15056568396854866,0.2041241452319315,0.17297098303421085,0.012271094037955062
I_15,9,0.4804956322336727,0.3481142487261937,0.32197491765166286,0.020926360649912747,0.18167000681742515,0.05459191993960256,0.06796276660305849,0.20075424529139824,0.040824829046386304,0.020812690650590125,0.02229022621553066
I_16,43,0.44237606773127747,0.37352413303137566,0.29632540429331006,0.015015406970575922,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.048652151075862654,-0.028296390332592108
I_17,44,0.44231284995934195,0.37354466939835096,0.29626575992769283,0.015015406970575922,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.048652151075862654,-0.028296390332592108
I_18,44,0.44231284995934195,0.37354466939835096,0.29626575992769283,0.015015406970575922,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.048652151075862654,-0.028296390332592108
I_19,40,0.4424900272542,0.37350458901084715,0.29644681503542414,0.015015406970575922,0.18304914420527307,0.11022216219847476,0.13592553320611697,0.20075424529139824,0.2041241452319315,0.048652151075862654,-0.028296390332592108
I_20,47,0.4202710043305648,0.3882928343391025,0.2814905251955123,0.013364657495710175,0.2256770271023915,0.22044432439694953,0.13592553320611697,0.15056568396854866,0.2041241452319315,0.06210062235331036,-0.056592780665184216
