Policy_ID,Rank,TOPSIS Score,Distance to Ideal,Distance to Nadir,Cost_carbon_abatement Score,Social_acceptance_tech Score,Deployment_difficulty Score,Acceptance_policy_instrument Score,Perceived_equity Score,Administrative_burden Score,Cost_gap Score
I_01,39,0.6154521692550241,0.050898832071638866,0.08146137907045416,0.1903398582151308,0.17903710816789722,0.10320024080787635,0.03398138330152924,0.20075424529139824,0.12247448713915891,0.17297098303421085
N_02,29,0.7198581734193614,0.036278687124157175,0.09322245723178701,0.08697319316236739,0.05892677929895779,0.1313808808347891,0.03398138330152924,0.20075424529139824,0.12247448713915891,0.11655491437240945
I_03,24,0.7425038640444217,0.034798635953505776,0.10034372579249348,0.10633567502343728,0.16549648654175375,0.017769409201964993,0.13592553320611697,0.10037712264569912,0.12247448713915891,0.08896952309218362
I_04,39,0.6154521692550241,0.050898832071638866,0.08146137907045416,0.1903398582151308,0.17903710816789722,0.10320024080787635,0.03398138330152924,0.20075424529139824,0.12247448713915891,0.17297098303421085
I_05,29,0.7198581734193614,0.036278687124157175,0.09322245723178701,0.08697319316236739,0.05892677929895779,0.1313808808347891,0.03398138330152924,0.20075424529139824,0.12247448713915891,0.11655491437240945
I_06,8,0.8026009778734615,0.02741380329588738,0.11146126812323215,0.020926360649912747,0.18167000681742515,0.05459191993960256,0.10194414990458772,0.20075424529139824,0.040824829046386304,0.020812690650590125
N_07,1,0.8863205868287293,0.015255457907771127,0.11894173296606868,0.01905603330095033,0.09403209462599645,0.0,0.10194414990458772,0.20075424529139824,0.040824829046386304,0.002192918818150039
N_08,2,0.8418764861012424,0.021912170030004546,0.11666412067925928,0.01905603330095033,0.09403209462599645,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.002192918818150039
N_09,38,0.6167738152855732,0.054186726203879675,0.08720947365197998,0.23272254623442173,0.16894433001137363,0.023994160602953684,0.16990691650764622,0.05018856132284956,0.040824829046386304,0.2129359005679126
I_10,41,0.611448106042412,0.05170303850007625,0.08136294137060697,0.1903398582151308,0.17903710816789722,0.10320024080787635,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.17297098303421085
I_11,41,0.611448106042412,0.05170303850007625,0.08136294137060697,0.1903398582151308,0.17903710816789722,0.10320024080787635,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.17297098303421085
I_12,32,0.7123587478656659,0.040429881025408836,0.10012673498642553,0.02499940404493118,0.1479438288782344,0.17885464449778013,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.016459131040099734
I_13,34,0.6742440595570053,0.047507094741186216,0.09832937005691214,0.0162257503417408,0.16549648654175375,0.24068094136121032,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.0
I_14,43,0.5957505530567814,0.053714972453179737,0.07916083692479724,0.1903398582151308,0.17903710816789722,0.10320024080787635,0.06796276660305849,0.15056568396854866,0.2041241452319315,0.17297098303421085
I_15,13,0.7903361366036302,0.02948468506009689,0.11114367398314016,0.020926360649912747,0.18167000681742515,0.05459191993960256,0.06796276660305849,0.20075424529139824,0.040824829046386304,0.020812690650590125
I_16,28,0.7276222804163658,0.03855436141785672,0.10299305103861084,0.015015406970575922,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.048652151075862654
I_17,21,0.7456238864402907,0.03510688504354384,0.10290483528767051,0.015015406970575922,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.048652151075862654
I_18,21,0.7456238864402907,0.03510688504354384,0.10290483528767051,0.015015406970575922,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.048652151075862654
I_19,26,0.7303436360646411,0.038191606930304496,0.10343904614584418,0.015015406970575922,0.18304914420527307,0.11022216219847476,0.13592553320611697,0.20075424529139824,0.2041241452319315,0.048652151075862654
I_20,36,0.6458997459704887,0.05116158611262769,0.09332175026013811,0.013364657495710175,0.2256770271023915,0.22044432439694953,0.13592553320611697,0.15056568396854866,0.2041241452319315,0.06210062235331036
N_21,12,0.8004917749748354,0.02869672914359235,0.11514059455558207,0.016666156445441668,0.14042126130815472,0.0,0.16990691650764622,0.05018856132284956,0.040824829046386304,0.03520367979841496
I_22,10,0.8014185884353389,0.028664196923160593,0.11568061711210009,0.018305904618032536,0.16549648654175375,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0
I_23,10,0.8014185884353389,0.028664196923160593,0.11568061711210009,0.018305904618032536,0.16549648654175375,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0
I_24,10,0.8014185884353389,0.028664196923160593,0.11568061711210009,0.018305904618032536,0.16549648654175375,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0
I_25,19,0.7551749867087502,0.035470767299035005,0.10941135410756372,0.007282178045302982,0.20812436943887216,0.081573147817522,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0
I_26,19,0.7551749867087502,0.035470767299035005,0.10941135410756372,0.007282178045302982,0.20812436943887216,0.081573147817522,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0
I_27,19,0.7551749867087502,0.035470767299035005,0.10941135410756372,0.007282178045302982,0.20812436943887216,0.081573147817522,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0
I_28,6,0.8043468579537293,0.027422101046983307,0.11273461077570825,0.010272218862742485,0.15045135140159432,0.0262433719520178,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.019660162443842333
I_29,6,0.8043468579537293,0.027422101046983307,0.11273461077570825,0.010272218862742485,0.15045135140159432,0.0262433719520178,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.019660162443842333
I_30,6,0.8043468579537293,0.027422101046983307,0.11273461077570825,0.010272218862742485,0.15045135140159432,0.0262433719520178,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.019660162443842333
N_31,48,0.4380866605260993,0.09271640801284224,0.07228485018766477,0.45422087608131445,0.16549648654175375,0.029888829928571094,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.4247753417267503
N_32,47,0.4445059468237524,0.09336652321406107,0.0747118255642969,0.45422087608131445,0.16549648654175375,0.029888829928571094,0.16990691650764622,0.05018856132284956,0.040824829046386304,0.4247753417267503
I_33,46,0.4510276520390657,0.09126678499320891,0.07498345571965043,0.45422087608131445,0.16549648654175375,0.029888829928571094,0.13592553320611697,0.15056568396854866,0.040824829046386304,0.4247753417267503
I_34,17,0.7619495299864478,0.029954909731290995,0.09587937124948451,0.08697319316236739,0.05892677929895779,0.1313808808347891,0.10194414990458772,0.20075424529139824,0.040824829046386304,0.11655491437240945
I_35,37,0.6290337122103248,0.048995742827967946,0.08308025555964509,0.10854512549804875,0.057046137406437845,0.25198179196005704,0.10194414990458772,0.15056568396854866,0.2041241452319315,0.0899669114959465
I_36,14,0.7829898348296411,0.02861368329274812,0.10324043179114943,0.06540126082668604,0.06080742119147771,0.01077996970952116,0.10194414990458772,0.15056568396854866,0.12247448713915891,0.14314291724887238
I_37,14,0.7829898348296411,0.02861368329274812,0.10324043179114943,0.06540126082668604,0.06080742119147771,0.01077996970952116,0.10194414990458772,0.15056568396854866,0.12247448713915891,0.14314291724887238
I_38,16,0.7743253550237814,0.030037688074104535,0.10306405260779564,0.06540126082668604,0.06080742119147771,0.01077996970952116,0.13592553320611697,0.10037712264569912,0.12247448713915891,0.14314291724887238
I_39,31,0.7166213680661528,0.037024536174219996,0.09362940876705962,0.08697319316236739,0.05892677929895779,0.1313808808347891,0.13592553320611697,0.20075424529139824,0.2041241452319315,0.11655491437240945
