Policy_ID,Rank,TOPSIS Score,Distance to Ideal,Distance to Nadir,Cost_carbon_abatement Score,Social_acceptance_tech Score,Deployment_difficulty Score,Acceptance_policy_instrument Score,Perceived_equity Score,Administrative_burden Score,Cost_gap Score,Relevance Score
I_01,35,0.4635995375347032,0.3326865850788834,0.28753395602552895,0.1903398582151308,0.17903710816789722,0.10320024080787635,0.03398138330152924,0.20075424529139824,0.12247448713915891,0.17297098303421085,-0.00011157551473412148
N_02,29,0.46575190709152336,0.3316444913442991,0.2891242034746339,0.08697319316236739,0.05892677929895779,0.1313808808347891,0.03398138330152924,0.20075424529139824,0.12247448713915891,0.11655491437240945,0.0
I_03,46,0.3904273693763632,0.37930248705366015,0.24294081587417357,0.10633567502343728,0.16549648654175375,0.017769409201964993,0.13592553320611697,0.10037712264569912,0.12247448713915891,0.08896952309218362,-0.09463365368106472
I_04,35,0.4635995375347032,0.3326865850788834,0.28753395602552895,0.1903398582151308,0.17903710816789722,0.10320024080787635,0.03398138330152924,0.20075424529139824,0.12247448713915891,0.17297098303421085,-0.00011157551473412148
I_05,29,0.46575190709152336,0.3316444913442991,0.2891242034746339,0.08697319316236739,0.05892677929895779,0.1313808808347891,0.03398138330152924,0.20075424529139824,0.12247448713915891,0.11655491437240945,0.0
I_06,13,0.4953691342288133,0.3138827943126008,0.3081219533219281,0.020926360649912747,0.18167000681742515,0.05459191993960256,0.10194414990458772,0.20075424529139824,0.040824829046386304,0.020812690650590125,0.03630902145268515
N_07,18,0.46796448630772536,0.3313996586537588,0.2914904494780789,0.01905603330095033,0.09403209462599645,0.0,0.10194414990458772,0.20075424529139824,0.040824829046386304,0.002192918818150039,0.0
N_08,19,0.4676747430948942,0.33150284290942766,0.29124206466222746,0.01905603330095033,0.09403209462599645,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.002192918818150039,0.0
N_09,42,0.4446852801050201,0.3447361853360279,0.2760580651769493,0.23272254623442173,0.16894433001137363,0.023994160602953684,0.16990691650764622,0.05018856132284956,0.040824829046386304,0.2129359005679126,-0.02373123112461877
I_10,37,0.46344177066343684,0.33274199726069,0.2873994507087404,0.1903398582151308,0.17903710816789722,0.10320024080787635,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.17297098303421085,-0.00011157551473412148
I_11,37,0.46344177066343684,0.33274199726069,0.2873994507087404,0.1903398582151308,0.17903710816789722,0.10320024080787635,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.17297098303421085,-0.00011157551473412148
I_12,1,0.9630505624226126,0.023702159174778956,0.6177733470527995,0.02499940404493118,0.1479438288782344,0.17885464449778013,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.016459131040099734,0.6624502567562354
I_13,48,0.07883874422084497,0.6160622605577307,0.0527264631241404,0.0162257503417408,0.16549648654175375,0.24068094136121032,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.0,-0.5683744806488412
I_14,39,0.4634249240119996,0.3327489675093976,0.287386000363838,0.1903398582151308,0.17903710816789722,0.10320024080787635,0.06796276660305849,0.15056568396854866,0.2041241452319315,0.17297098303421085,-0.00011157551473412148
I_15,14,0.49536382932901823,0.3138868993544337,0.3081194442199454,0.020926360649912747,0.18167000681742515,0.05459191993960256,0.06796276660305849,0.20075424529139824,0.040824829046386304,0.020812690650590125,0.03630902145268515
I_16,10,0.5185377626988371,0.29909663172898465,0.32212889450453924,0.015015406970575922,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.048652151075862654,0.06638743126679711
I_17,11,0.5184738306095366,0.29912227799130303,0.3220740286807619,0.015015406970575922,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.048652151075862654,0.06638743126679711
I_18,11,0.5184738306095366,0.29912227799130303,0.3220740286807619,0.015015406970575922,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.048652151075862654,0.06638743126679711
I_19,9,0.5186446819750994,0.29907222399772415,0.3222405833996858,0.015015406970575922,0.18304914420527307,0.11022216219847476,0.13592553320611697,0.20075424529139824,0.2041241452319315,0.048652151075862654,0.06638743126679711
I_20,47,0.3727788702416626,0.39034253368915944,0.2319938564122947,0.013364657495710175,0.2256770271023915,0.22044432439694953,0.13592553320611697,0.15056568396854866,0.2041241452319315,0.06210062235331036,-0.11530448588443731
N_21,2,0.664734321585783,0.20820038731828436,0.41280080881684506,0.016666156445441668,0.14042126130815472,0.0,0.16990691650764622,0.05018856132284956,0.040824829046386304,0.03520367979841496,0.24807934841803206
I_22,4,0.5865477862050424,0.2570151781560022,0.3646169466231463,0.018305904618032536,0.16549648654175375,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0,0.15024523918275165
I_23,4,0.5865477862050424,0.2570151781560022,0.3646169466231463,0.018305904618032536,0.16549648654175375,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0,0.15024523918275165
I_24,4,0.5865477862050424,0.2570151781560022,0.3646169466231463,0.018305904618032536,0.16549648654175375,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0,0.15024523918275165
I_25,16,0.4752812245800402,0.3265668996719973,0.2957986701718276,0.007282178045302982,0.20812436943887216,0.081573147817522,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0,0.011646917766104692
I_26,16,0.4752812245800402,0.3265668996719973,0.2957986701718276,0.007282178045302982,0.20812436943887216,0.081573147817522,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0,0.011646917766104692
I_27,16,0.4752812245800402,0.3265668996719973,0.2957986701718276,0.007282178045302982,0.20812436943887216,0.081573147817522,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.0,0.011646917766104692
I_28,7,0.5781418266902055,0.26210740774026836,0.35920900693018526,0.010272218862742485,0.15045135140159432,0.0262433719520178,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.019660162443842333,0.1397630131932574
I_29,7,0.5781418266902055,0.26210740774026836,0.35920900693018526,0.010272218862742485,0.15045135140159432,0.0262433719520178,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.019660162443842333,0.1397630131932574
I_30,7,0.5781418266902055,0.26210740774026836,0.35920900693018526,0.010272218862742485,0.15045135140159432,0.0262433719520178,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.019660162443842333,0.1397630131932574
N_31,44,0.42315235340888097,0.358815254551056,0.26321251425666053,0.45422087608131445,0.16549648654175375,0.029888829928571094,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.4247753417267503,-0.047462462249237815
N_32,45,0.4231164327513665,0.358906620613634,0.26324079524254923,0.45422087608131445,0.16549648654175375,0.029888829928571094,0.16990691650764622,0.05018856132284956,0.040824829046386304,0.4247753417267503,-0.047462462249237815
I_33,43,0.42333067035279714,0.35873883945521107,0.2633487608593085,0.45422087608131445,0.16549648654175375,0.029888829928571094,0.13592553320611697,0.15056568396854866,0.040824829046386304,0.4247753417267503,-0.047462462249237815
I_34,28,0.4658179330696857,0.3316200875497147,0.2891796511149971,0.08697319316236739,0.05892677929895779,0.1313808808347891,0.10194414990458772,0.20075424529139824,0.040824829046386304,0.11655491437240945,0.0
I_35,34,0.46464062923220395,0.33210241715328254,0.2882330720284822,0.10854512549804875,0.057046137406437845,0.25198179196005704,0.10194414990458772,0.15056568396854866,0.2041241452319315,0.0899669114959465,0.0
I_36,24,0.4666385090706592,0.33154295946156886,0.2900672713105874,0.06540126082668604,0.06080742119147771,0.01077996970952116,0.10194414990458772,0.15056568396854866,0.12247448713915891,0.14314291724887238,0.0
I_37,24,0.4666385090706592,0.33154295946156886,0.2900672713105874,0.06540126082668604,0.06080742119147771,0.01077996970952116,0.10194414990458772,0.15056568396854866,0.12247448713915891,0.14314291724887238,0.0
I_38,26,0.46652566153735153,0.33160900742074606,0.28999353934161115,0.06540126082668604,0.06080742119147771,0.01077996970952116,0.13592553320611697,0.10037712264569912,0.12247448713915891,0.14314291724887238,0.0
I_39,31,0.46571873399828917,0.331678069133194,0.2891149293099367,0.08697319316236739,0.05892677929895779,0.1313808808347891,0.13592553320611697,0.20075424529139824,0.2041241452319315,0.11655491437240945,0.0
N_40,22,0.46674501106438904,0.3316881070046059,0.2903184637480895,0.09093145997848484,0.016298896401839385,0.0,0.13592553320611697,0.20075424529139824,0.2041241452319315,0.19327675799528377,0.0
N_41,21,0.4668030811270999,0.33160053337562334,0.29030953706622786,0.12336113027310039,0.012537612616799526,0.0,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.13713489343515103,0.0
N_42,40,0.46281351115641134,0.33388563475135746,0.28765947422954646,0.09372912072299708,0.10155466219607617,0.5039635839201141,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.04279892955674199,0.0
I_43,23,0.4667412280717388,0.331589141816804,0.29022743068472134,0.07230073196950282,0.10155466219607617,0.02155993941904232,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.03686721194232814,0.0
I_44,20,0.46685954245944217,0.33152075790854374,0.29030554174594053,0.07230073196950282,0.10155466219607617,0.02155993941904232,0.16990691650764622,0.15056568396854866,0.12247448713915891,0.03686721194232814,0.0
I_45,40,0.46281351115641134,0.33388563475135746,0.28765947422954646,0.09372912072299708,0.10155466219607617,0.5039635839201141,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.04279892955674199,0.0
N_46,33,0.464722420068452,0.3321596256674473,0.2883775276165073,0.08301492634624995,0.10155466219607617,0.2627617616695782,0.10194414990458772,0.15056568396854866,0.12247448713915891,0.03983307074953507,0.0
N_47,27,0.466500479240434,0.33183206260670506,0.29015924140470545,0.09093145997848484,0.016298896401839385,0.0,0.16990691650764622,0.05018856132284956,0.040824829046386304,0.19327675799528377,0.0
N_48,32,0.46557829856514155,0.33170706975604225,0.2889770620175148,0.08697319316236739,0.05892677929895779,0.1313808808347891,0.06796276660305849,0.15056568396854866,0.2041241452319315,0.11655491437240945,0.0
