Policy_ID,Rank,TOPSIS Score,Distance to Ideal,Distance to Nadir,Cost_carbon_abatement Score,Social_acceptance_tech Score,Deployment_difficulty Score,Acceptance_policy_instrument Score,Perceived_equity Score,Administrative_burden Score,Relevance Score
I_01,13,0.47087886786555944,0.35387134397752634,0.314919453604177,0.18487894043937383,0.17903710816789722,0.10320024080787635,0.03398138330152924,0.20075424529139824,0.12247448713915891,0.012271094037955062
N_02,31,0.46361599804264103,0.3589388970198053,0.31024380736730267,0.09967197293310641,0.05892677929895779,0.1313808808347891,0.03398138330152924,0.20075424529139824,0.12247448713915891,0.0
I_03,46,0.4300264797338152,0.38202758285265687,0.2882273838592093,0.10018158792407225,0.16549648654175375,0.017769409201964993,0.13592553320611697,0.10037712264569912,0.12247448713915891,-0.04508119922982905
I_04,13,0.47087886786555944,0.35387134397752634,0.314919453604177,0.18487894043937383,0.17903710816789722,0.10320024080787635,0.03398138330152924,0.20075424529139824,0.12247448713915891,0.012271094037955062
I_05,31,0.46361599804264103,0.3589388970198053,0.31024380736730267,0.09967197293310641,0.05892677929895779,0.1313808808347891,0.03398138330152924,0.20075424529139824,0.12247448713915891,0.0
I_06,8,0.4802709191588617,0.3483990549679272,0.3219483775907288,0.02105327750434717,0.18167000681742515,0.05459191993960256,0.10194414990458772,0.20075424529139824,0.040824829046386304,0.02229022621553066
N_07,2,0.621850824960402,0.25314691036159725,0.41628972224533345,0.012384322722650736,0.09403209462599645,0.0,0.10194414990458772,0.20075424529139824,0.040824829046386304,0.21139068071995276
N_08,3,0.6215375819690651,0.2533360194832452,0.4160462161461269,0.012384322722650736,0.09403209462599645,0.0,0.16990691650764622,0.10037712264569912,0.12247448713915891,0.21139068071995276
N_09,7,0.49279339442915554,0.33951185699492165,0.32986400141451716,0.22663276432405052,0.16894433001137363,0.023994160602953684,0.16990691650764622,0.05018856132284956,0.040824829046386304,0.04154268176747654
I_10,15,0.47069142241815765,0.3539442898541188,0.3147474805893547,0.18487894043937383,0.17903710816789722,0.10320024080787635,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.012271094037955062
I_11,15,0.47069142241815765,0.3539442898541188,0.3147474805893547,0.18487894043937383,0.17903710816789722,0.10320024080787635,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.012271094037955062
I_12,1,0.9596364416444791,0.028005035411995494,0.6658147503791401,0.021747388070767214,0.1479438288782344,0.17885464449778013,0.16990691650764622,0.15056568396854866,0.2041241452319315,0.7170470360899667
I_13,48,0.0681641123371343,0.664671945440199,0.04862097903307962,0.009788767184648928,0.16549648654175375,0.24068094136121032,0.16990691650764622,0.15056568396854866,0.2041241452319315,-0.6106103666703622
I_14,17,0.470671350422039,0.3539534654462346,0.3147302827855024,0.18487894043937383,0.17903710816789722,0.10320024080787635,0.06796276660305849,0.15056568396854866,0.2041241452319315,0.012271094037955062
I_15,9,0.4802646018496665,0.34840423368205414,0.32194501503561396,0.02105327750434717,0.18167000681742515,0.05459191993960256,0.06796276660305849,0.20075424529139824,0.040824829046386304,0.02229022621553066
I_16,43,0.44198056487835846,0.37384419359772664,0.29610414523787876,0.028761673064605347,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.15056568396854866,0.2041241452319315,-0.028296390332592108
I_17,44,0.44189198272616365,0.3738729252822925,0.2960205607646053,0.028761673064605347,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.10037712264569912,0.12247448713915891,-0.028296390332592108
I_18,44,0.44189198272616365,0.3738729252822925,0.2960205607646053,0.028761673064605347,0.18304914420527307,0.11022216219847476,0.16990691650764622,0.10037712264569912,0.12247448713915891,-0.028296390332592108
I_19,42,0.4421402696366152,0.37381684968530215,0.29627426702212034,0.028761673064605347,0.18304914420527307,0.11022216219847476,0.13592553320611697,0.20075424529139824,0.2041241452319315,-0.028296390332592108
